state_fips_code,chsi_state_name,county_fips_code,chsi_county_name,chsi_state_abbr,strata_id_number,strata_determining_factors,number_counties,population_size,poverty,age_19_under,age_19_64,age_65_84,age_85_and_over,white,black,native_american,asian,hispanic
1,Alabama,59,Franklin,AL,49,"frontier status, population size, poverty, age, population density",35,30737,17.4,24.6,60.2,13.7,1.5,94.1,4.2,0.4,0.6,10.7
1,Alabama,61,Geneva,AL,64,"frontier status, population size, poverty, age, population density",41,25735,17.6,22.9,59.9,15.1,2.1,87.8,10.8,0.7,0.2,2.0
1,Alabama,63,Greene,AL,75,"frontier status, population size, poverty, age, population density",37,9661,24.9,28.0,57.9,12.0,2.1,19.9,79.7,0.1,0.2,0.7
1,Alabama,65,Hale,AL,76,"frontier status, population size, poverty, age, population density",38,18316,20.6,26.8,60.6,10.9,1.7,40.3,59.2,0.1,0.2,0.9
1,Alabama,67,Henry,AL,63,"frontier status, population size, poverty, age, population density",32,16610,16.3,23.7,60.4,13.9,2.1,67.6,31.7,0.2,0.0,2.1
1,Alabama,69,Houston,AL,23,"frontier status, population size, poverty, age",37,94249,15.3,25.9,60.2,12.1,1.8,72.2,25.9,0.4,0.7,1.6
1,Alabama,71,Jackson,AL,22,"frontier status, population size, poverty, age",28,53650,14.5,23.7,61.7,13.1,1.5,92.6,3.8,1.6,0.3,1.6
1,Alabama,73,Jefferson,AL,3,"frontier status, population size, poverty",39,657229,14.4,25.2,61.4,11.7,1.7,56.8,41.2,0.2,1.1,2.3
1,Alabama,75,Lamar,AL,63,"frontier status, population size, poverty, age, population density",32,14962,16.1,22.5,60.4,15.1,2.1,88.1,11.4,0.2,0.1,1.5
1,Alabama,77,Lauderdale,AL,21,"frontier status, population size, poverty, age",44,87691,15.6,22.9,61.2,14.3,1.7,88.9,9.7,0.3,0.4,1.2
1,Alabama,79,Lawrence,AL,32,"frontier status, population size, poverty, age",37,34605,14.4,24.6,62.7,11.5,1.2,79.5,12.1,5.4,0.1,1.4
1,Alabama,81,Lee,AL,22,"frontier status, population size, poverty, age",28,123254,15.1,25.1,66.5,7.6,0.9,74.1,23.0,0.2,1.8,1.6
1,Alabama,83,Limestone,AL,19,"frontier status, population size, poverty, age",37,70469,11.8,24.1,64.2,10.5,1.1,85.1,13.2,0.5,0.5,3.3
1,Alabama,85,Lowndes,AL,66,"frontier status, population size, poverty, age, population density",37,13076,23.3,29.0,58.2,11.3,1.5,27.9,71.7,0.1,0.1,0.8
1,Alabama,87,Macon,AL,44,"frontier status, population size, poverty, age",33,22810,25.8,27.0,58.6,12.4,2.0,15.7,82.8,0.1,0.9,1.0
1,Alabama,89,Madison,AL,4,"frontier status, population size, poverty",25,298192,10.9,25.5,62.5,10.9,1.1,71.7,23.5,0.8,2.1,2.2
1,Alabama,91,Marengo,AL,67,"frontier status, population size, poverty, age, population density",31,21879,20.1,27.8,57.9,12.5,1.8,47.1,52.2,0.1,0.3,1.8
1,Alabama,93,Marion,AL,49,"frontier status, population size, poverty, age, population density",35,30154,16.8,22.4,60.7,14.8,2.2,95.0,3.9,0.3,0.2,1.5
1,Alabama,95,Marshall,AL,22,"frontier status, population size, poverty, age",28,85634,15.2,25.7,60.4,12.5,1.4,96.6,1.6,0.5,0.4,8.5
1,Alabama,97,Mobile,AL,5,"frontier status, population size, poverty",25,401427,18.5,27.6,60.3,10.8,1.3,62.2,34.5,0.7,1.6,1.3
1,Alabama,99,Monroe,AL,67,"frontier status, population size, poverty, age, population density",31,23733,17.7,27.4,58.4,12.3,1.9,57.0,41.0,1.0,0.3,0.8
1,Alabama,101,Montgomery,AL,7,"frontier status, population size, poverty",33,221619,18.0,27.3,60.9,10.3,1.5,45.1,52.5,0.2,1.2,1.4
1,Alabama,103,Morgan,AL,14,"frontier status, population size, poverty, age",40,113740,13.2,24.8,62.0,11.8,1.4,85.7,11.8,0.7,0.7,4.6
1,Alabama,105,Perry,AL,75,"frontier status, population size, poverty, age, population density",37,11371,28.6,31.6,54.2,12.3,1.9,30.0,69.6,0.1,0.1,0.9
1,Alabama,107,Pickens,AL,76,"frontier status, population size, poverty, age, population density",38,20178,19.3,26.3,57.6,14.1,2.0,57.2,42.4,0.1,0.1,0.8
1,Alabama,109,Pike,AL,35,"frontier status, population size, poverty, age",27,29639,20.3,25.4,62.0,11.4,1.2,60.2,36.8,0.6,1.0,1.6
1,Alabama,111,Randolph,AL,72,"frontier status, population size, poverty, age, population density",32,22717,15.7,25.1,58.5,14.4,2.0,76.8,22.1,0.3,0.4,1.3
1,Alabama,113,Russell,AL,8,"frontier status, population size, poverty",54,49326,18.6,26.3,60.1,12.2,1.4,56.1,42.1,0.3,0.6,2.1
1,Alabama,115,St. Clair,AL,22,"frontier status, population size, poverty, age",28,72330,13.1,24.2,63.7,11.0,1.1,90.3,8.2,0.4,0.3,1.3
1,Alabama,117,Shelby,AL,11,"frontier status, population size, poverty, age",44,171465,6.9,26.2,65.1,8.0,0.7,88.2,9.4,0.3,1.4,3.1
1,Alabama,119,Sumter,AL,66,"frontier status, population size, poverty, age, population density",37,13819,26.4,28.2,57.6,11.5,2.7,24.9,74.7,0.1,0.1,1.4
1,Alabama,121,Talladega,AL,8,"frontier status, population size, poverty",54,80457,16.8,24.9,61.7,12.0,1.4,67.5,31.4,0.2,0.4,1.1
1,Alabama,123,Tallapoosa,AL,49,"frontier status, population size, poverty, age, population density",35,40717,16.0,23.6,59.8,14.6,2.0,72.9,26.3,0.2,0.2,0.9
1,Alabama,125,Tuscaloosa,AL,6,"frontier status, population size, poverty",53,168908,16.5,25.0,63.9,9.9,1.2,67.7,30.1,0.2,1.1,1.6
1,Alabama,127,Walker,AL,24,"frontier status, population size, poverty, age",35,70117,14.8,23.6,61.0,13.7,1.6,92.5,6.4,0.3,0.2,1.2
1,Alabama,129,Washington,AL,66,"frontier status, population size, poverty, age, population density",37,17773,16.9,27.2,59.4,12.0,1.3,66.0,26.4,6.7,0.1,0.9
1,Alabama,131,Wilcox,AL,75,"frontier status, population size, poverty, age, population density",37,12937,27.9,30.6,56.4,11.0,2.0,27.1,72.6,0.1,0.1,0.8
1,Alabama,133,Winston,AL,41,"frontier status, population size, poverty, age",47,24498,16.9,22.8,62.2,13.7,1.4,98.3,0.6,0.4,0.1,1.9
2,Alaska,13,Aleutians East,AK,80,"frontier status, population size, poverty, age",41,2713,11.7,13.4,83.2,3.0,0.4,33.4,1.9,29.6,33.5,14.8
2,Alaska,16,Aleutians West,AK,78,"frontier status, population size, poverty, age",43,5382,7.3,14.0,83.3,2.6,0.1,48.7,3.8,18.7,26.8,12.0
2,Alaska,20,Anchorage,AK,9,"frontier status, population size, poverty, age",24,275043,8.7,29.9,63.7,5.8,0.6,72.0,6.2,8.5,7.7,6.4
2,Alaska,50,Bethel,AK,86,"frontier status, population size, poverty, age",38,17127,20.9,41.2,53.8,4.6,0.4,13.4,0.6,82.0,1.3,1.1
2,Alaska,60,Bristol Bay,AK,78,"frontier status, population size, poverty, age",43,1112,8.1,26.5,67.6,5.6,0.4,57.6,0.6,41.4,0.3,1.0
2,Alaska,68,Denali,AK,78,"frontier status, population size, poverty, age",43,1881,6.6,22.4,73.0,4.4,0.3,89.6,1.3,4.7,2.3,2.8
2,Alaska,70,Dillingham,AK,83,"frontier status, population size, poverty, age",29,4926,18.1,36.8,56.6,6.1,0.5,23.5,0.5,71.3,0.5,2.5
2,Alaska,90,Fairbanks North Star,AK,17,"frontier status, population size, poverty, age",32,87560,7.8,31.2,63.3,4.9,0.5,79.1,5.3,7.8,2.6,5.2
2,Alaska,100,Haines,AK,80,"frontier status, population size, poverty, age",41,2272,11.4,21.3,67.0,10.3,1.5,87.5,0.3,9.6,0.7,1.4
2,Alaska,110,Juneau,AK,47,"frontier status, population size, poverty, age, population density",34,30987,7.3,26.7,66.2,6.3,0.8,75.3,1.1,12.2,5.6,3.6
2,Alaska,122,Kenai Peninsula,AK,77,"frontier status, population size",15,51960,9.9,27.4,63.6,8.3,0.6,87.5,0.6,7.7,1.3,2.7
2,Alaska,130,Ketchikan Gateway,AK,37,"frontier status, population size, poverty, age",30,13262,8.1,27.5,63.8,7.7,1.0,74.1,1.0,15.8,5.3,2.9
2,Alaska,150,Kodiak Island,AK,78,"frontier status, population size, poverty, age",43,13051,8.7,31.5,62.8,5.2,0.5,62.1,1.2,15.7,17.5,6.7
2,Alaska,164,Lake and Peninsula,AK,83,"frontier status, population size, poverty, age",29,1570,16.6,34.1,59.0,6.4,0.4,23.4,0.0,71.5,0.8,1.3
2,Alaska,170,Matanuska-Susitna,AK,77,"frontier status, population size",15,76006,10.5,29.1,64.2,6.2,0.5,88.3,1.1,5.7,1.0,2.8
2,Alaska,180,Nome,AK,83,"frontier status, population size, poverty, age",29,9328,17.4,37.5,56.6,5.2,0.7,20.0,0.5,75.7,1.1,1.1
2,Alaska,185,North Slope,AK,80,"frontier status, population size, poverty, age",41,6924,11.6,39.5,55.4,4.5,0.6,15.7,1.1,72.0,7.1,3.9
2,Alaska,188,Northwest Arctic,AK,83,"frontier status, population size, poverty, age",29,7621,17.0,41.7,53.1,5.0,0.2,13.1,0.1,83.6,1.0,5.6
2,Alaska,201,Prince of Wales-Outer Ketchikan,AK,80,"frontier status, population size, poverty, age",41,5660,13.8,26.8,64.9,7.9,0.4,53.5,0.2,40.9,0.4,2.4
2,Alaska,220,Sitka,AK,78,"frontier status, population size, poverty, age",43,8986,7.7,27.0,62.8,9.5,0.7,68.4,0.4,20.1,5.6,3.9
2,Alaska,232,Skagway-Hoonah-Angoon,AK,80,"frontier status, population size, poverty, age",41,3126,11.6,22.8,68.0,8.3,0.9,61.2,0.2,35.6,0.1,4.1
2,Alaska,240,Southeast Fairbanks,AK,80,"frontier status, population size, poverty, age",41,6614,15.7,30.8,61.5,7.2,0.5,81.8,2.8,11.5,0.8,3.3
2,Alaska,261,Valdez-Cordova,AK,78,"frontier status, population size, poverty, age",43,9899,9.1,27.4,65.8,6.2,0.6,76.8,0.5,14.6,4.2,2.4
2,Alaska,270,Wade Hampton,AK,88,"frontier status, population size, poverty, age",23,7541,25.1,47.2,47.6,4.7,0.4,4.7,0.0,93.4,0.1,0.4
2,Alaska,280,Wrangell-Petersburg,AK,78,"frontier status, population size, poverty, age",43,6245,8.9,27.0,62.2,9.5,1.3,75.7,0.2,16.2,2.2,2.7
2,Alaska,282,Yakutat,AK,78,"frontier status, population size, poverty, age",43,722,10.8,22.1,70.2,7.2,0.4,57.8,0.1,40.6,0.7,0.8
2,Alaska,290,Yukon-Koyukuk,AK,83,"frontier status, population size, poverty, age",29,6143,17.5,32.3,59.4,7.5,0.8,26.9,0.1,69.9,0.5,1.3
4,Arizona,1,Apache,AZ,77,"frontier status, population size",15,69343,27.5,36.8,53.5,8.8,0.9,22.2,0.6,76.1,0.3,4.6
4,Arizona,3,Cochise,AZ,7,"frontier status, population size, poverty",33,126106,16.3,27.1,56.9,14.4,1.6,90.1,4.4,1.3,2.1,30.8
4,Arizona,5,Coconino,AZ,77,"frontier status, population size",15,123866,15.6,29.0,63.3,7.0,0.7,66.1,1.3,29.9,1.2,11.6
4,Arizona,7,Gila,AZ,36,"frontier status, population size, poverty, age",23,51663,17.1,25.4,53.7,18.7,2.2,83.5,0.7,14.6,0.6,16.3
4,Arizona,9,Graham,AZ,51,"frontier status, population size, poverty, age, population density",33,33073,20.5,30.1,57.2,11.1,1.6,80.4,2.2,16.3,0.7,27.8
4,Arizona,11,Greenlee,AZ,78,"frontier status, population size, poverty, age",43,7521,11.2,30.0,58.8,9.9,1.3,96.2,0.8,1.9,0.5,46.4
4,Arizona,12,La Paz,AZ,88,"frontier status, population size, poverty, age",23,20238,17.2,20.6,50.4,26.0,2.9,84.2,1.0,13.2,0.6,22.8
4,Arizona,13,Maricopa,AZ,1,"frontier status, population size",34,3635528,12.8,28.6,60.3,9.7,1.4,89.0,4.3,2.2,2.9,28.7
4,Arizona,15,Mohave,AZ,6,"frontier status, population size, poverty",53,187200,14.9,23.3,55.9,18.8,2.0,94.2,1.0,2.5,1.1,12.8
4,Arizona,17,Navajo,AZ,8,"frontier status, population size, poverty",54,108432,21.4,33.9,55.1,10.1,0.9,48.5,1.1,48.8,0.4,8.7
4,Arizona,19,Pima,AZ,3,"frontier status, population size, poverty",39,924786,14.3,26.0,59.6,12.5,1.9,88.7,3.4,3.6,2.6,31.6
4,Arizona,21,Pinal,AZ,7,"frontier status, population size, poverty",33,229549,14.6,26.1,59.4,13.1,1.4,86.9,3.5,7.4,1.1,29.6
4,Arizona,23,Santa Cruz,AZ,51,"frontier status, population size, poverty, age, population density",33,42009,19.2,33.4,55.0,10.4,1.2,97.7,0.6,0.8,0.8,80.4
4,Arizona,25,Yavapai,AZ,16,"frontier status, population size, poverty, age",27,198701,12.0,21.1,56.9,19.5,2.5,95.6,0.7,1.7,0.8,11.5
4,Arizona,27,Yuma,AZ,7,"frontier status, population size, poverty",33,181277,18.0,30.8,51.8,15.6,1.8,93.0,2.7,1.9,1.4,54.6
5,Arkansas,1,Arkansas,AR,75,"frontier status, population size, poverty, age, population density",37,20073,17.3,24.9,59.5,13.8,1.8,74.6,24.5,0.1,0.4,1.1
5,Arkansas,3,Ashley,AR,68,"frontier status, population size, poverty, age, population density",34,23178,17.8,25.9,60.2,12.0,1.9,71.3,27.8,0.1,0.3,3.8
5,Arkansas,5,Baxter,AR,50,"frontier status, population size, poverty, age, population density",27,40330,13.7,18.8,54.8,22.8,3.6,98.0,0.3,0.5,0.4,1.0
5,Arkansas,7,Benton,AR,13,"frontier status, population size, poverty, age",16,186938,10.0,27.2,60.2,11.1,1.5,93.8,1.1,1.6,1.9,12.6
5,Arkansas,9,Boone,AR,49,"frontier status, population size, poverty, age, population density",35,35793,15.3,23.5,59.4,14.9,2.1,97.7,0.3,0.7,0.4,1.5
5,Arkansas,11,Bradley,AR,70,"frontier status, population size, poverty, age, population density",37,12192,20.3,23.4,59.5,14.9,2.2,71.2,28.2,0.3,0.1,10.2
5,Arkansas,13,Calhoun,AR,43,"frontier status, population size, poverty, age",57,5589,14.5,23.5,61.1,13.0,2.4,76.6,23.2,0.0,0.0,2.1
5,Arkansas,15,Carroll,AR,64,"frontier status, population size, poverty, age, population density",41,26999,15.4,24.0,60.1,14.2,1.7,97.3,0.3,0.7,0.7,13.5
5,Arkansas,17,Chicot,AR,67,"frontier status, population size, poverty, age, population density",31,13027,27.9,26.0,58.3,13.6,2.0,45.2,53.9,0.0,0.6,4.0
5,Arkansas,19,Clark,AR,71,"frontier status, population size, poverty, age, population density",33,22916,17.2,24.4,61.3,12.1,2.1,75.3,22.3,0.5,1.1,3.9
5,Arkansas,21,Clay,AR,63,"frontier status, population size, poverty, age, population density",32,16578,17.1,23.0,57.9,16.3,2.7,98.2,0.3,0.7,0.2,1.0
5,Arkansas,23,Cleburne,AR,64,"frontier status, population size, poverty, age, population density",41,25391,14.4,20.5,57.8,19.4,2.2,98.2,0.5,0.3,0.2,1.7
5,Arkansas,25,Cleveland,AR,41,"frontier status, population size, poverty, age",47,8903,14.2,24.7,61.0,12.6,1.7,85.7,13.5,0.4,0.1,1.8
5,Arkansas,27,Columbia,AR,35,"frontier status, population size, poverty, age",27,24695,20.3,25.3,58.8,13.5,2.4,62.3,36.6,0.3,0.4,1.6
5,Arkansas,29,Conway,AR,43,"frontier status, population size, poverty, age",57,20739,16.5,25.1,59.3,13.5,2.1,85.5,12.5,0.5,0.5,2.4
5,Arkansas,31,Craighead,AR,22,"frontier status, population size, poverty, age",28,86735,15.9,25.8,62.5,10.3,1.4,88.3,9.7,0.4,0.7,3.1
5,Arkansas,33,Crawford,AR,33,"frontier status, population size, poverty, age",41,57630,14.2,27.1,61.0,10.8,1.1,93.4,1.1,2.1,1.4,4.6
5,Arkansas,35,Crittenden,AR,53,"frontier status, population size, poverty, age, population density",27,51882,22.5,31.2,59.0,8.7,1.1,49.2,49.4,0.3,0.6,1.9
5,Arkansas,37,Cross,AR,68,"frontier status, population size, poverty, age, population density",34,19237,19.6,26.8,60.0,11.6,1.5,75.5,23.4,0.3,0.4,1.1
5,Arkansas,39,Dallas,AR,74,"frontier status, population size, poverty, age, population density",30,8524,18.7,25.2,58.3,13.9,2.6,58.2,40.7,0.3,0.4,2.4
5,Arkansas,41,Desha,AR,67,"frontier status, population size, poverty, age, population density",31,14358,23.2,28.2,57.5,12.1,2.2,52.1,46.8,0.3,0.4,3.8
5,Arkansas,43,Drew,AR,67,"frontier status, population size, poverty, age, population density",31,18693,18.4,25.6,61.3,11.5,1.6,71.2,27.5,0.2,0.5,2.6
5,Arkansas,45,Faulkner,AR,19,"frontier status, population size, poverty, age",37,97147,12.8,27.0,63.4,8.5,1.1,88.3,9.3,0.5,0.8,2.5
5,Arkansas,47,Franklin,AR,43,"frontier status, population size, poverty, age",57,18218,16.4,24.6,59.2,13.9,2.3,96.7,0.7,0.8,0.9,2.0
5,Arkansas,49,Fulton,AR,70,"frontier status, population size, poverty, age, population density",37,11934,18.2,21.3,57.2,18.7,2.7,98.1,0.3,0.6,0.2,0.7
5,Arkansas,51,Garland,AR,24,"frontier status, population size, poverty, age",35,93551,16.0,21.9,57.4,18.0,2.7,89.3,7.9,0.7,0.6,3.3
5,Arkansas,53,Grant,AR,39,"frontier status, population size, poverty, age",51,17348,10.9,23.8,63.6,11.2,1.5,95.8,3.1,0.5,0.2,1.7
5,Arkansas,55,Greene,AR,50,"frontier status, population size, poverty, age, population density",27,39401,15.4,25.3,60.9,12.2,1.6,97.8,0.3,0.4,0.2,1.5
5,Arkansas,57,Hempstead,AR,76,"frontier status, population size, poverty, age, population density",38,23383,19.0,27.0,59.7,11.4,1.9,68.8,29.1,0.4,0.5,12.0
5,Arkansas,59,Hot Spring,AR,49,"frontier status, population size, poverty, age, population density",35,31264,15.0,24.3,60.4,13.2,2.1,87.9,10.2,0.5,0.3,1.7
5,Arkansas,61,Howard,AR,43,"frontier status, population size, poverty, age",57,14552,15.7,26.7,59.2,12.0,2.2,77.8,20.7,0.5,0.5,8.8
5,Arkansas,63,Independence,AR,32,"frontier status, population size, poverty, age",37,34737,14.9,24.3,60.9,13.2,1.6,95.5,2.1,0.4,1.0,2.5
5,Arkansas,65,Izard,AR,71,"frontier status, population size, poverty, age, population density",33,13430,18.1,20.8,58.3,18.3,2.6,96.8,1.5,0.8,0.2,1.1
5,Arkansas,67,Jackson,AR,72,"frontier status, population size, poverty, age, population density",32,17601,20.6,23.4,61.9,12.7,1.9,79.7,19.4,0.3,0.2,1.4
5,Arkansas,69,Jefferson,AR,8,"frontier status, population size, poverty",54,81700,20.9,26.9,60.3,11.0,1.8,46.2,51.9,0.3,0.9,1.2
5,Arkansas,71,Johnson,AR,64,"frontier status, population size, poverty, age, population density",41,24042,17.1,25.9,60.2,11.9,2.0,95.7,1.8,0.7,0.7,9.3
5,Arkansas,73,Lafayette,AR,75,"frontier status, population size, poverty, age, population density",37,8027,20.5,24.2,58.5,14.2,3.1,63.1,36.1,0.4,0.3,1.6
5,Arkansas,75,Lawrence,AR,72,"frontier status, population size, poverty, age, population density",32,17153,19.0,24.1,58.4,14.7,2.7,97.8,0.7,0.6,0.1,0.9
5,Arkansas,77,Lee,AR,67,"frontier status, population size, poverty, age, population density",31,11545,29.1,24.7,62.0,11.3,2.0,42.2,57.2,0.2,0.4,2.6
5,Arkansas,79,Lincoln,AR,44,"frontier status, population size, poverty, age",33,14262,23.4,21.3,66.6,10.3,1.8,66.1,32.9,0.4,0.1,1.8
5,Arkansas,81,Little River,AR,42,"frontier status, population size, poverty, age",53,13227,15.4,24.2,59.7,14.1,2.0,76.0,21.2,1.2,0.2,2.0
5,Arkansas,83,Logan,AR,76,"frontier status, population size, poverty, age, population density",38,22944,16.4,24.9,59.0,14.0,2.1,95.7,1.3,0.7,0.8,1.6
5,Arkansas,85,Lonoke,AR,29,"frontier status, population size, poverty, age",37,60658,10.8,26.8,62.9,9.3,1.1,91.5,6.5,0.5,0.6,2.3
5,Arkansas,87,Madison,AR,43,"frontier status, population size, poverty, age",57,14962,17.0,24.8,60.9,12.6,1.8,97.2,0.2,1.2,0.3,3.9
5,Arkansas,89,Marion,AR,71,"frontier status, population size, poverty, age, population density",33,16735,17.1,20.0,58.6,18.9,2.4,97.7,0.3,0.7,0.2,1.0
5,Arkansas,91,Miller,AR,52,"frontier status, population size, poverty, age, population density",40,43162,17.8,25.9,60.4,11.8,1.9,74.5,23.4,0.7,0.4,1.9
5,Arkansas,93,Mississippi,AR,8,"frontier status, population size, poverty",54,47911,22.3,30.2,57.5,10.8,1.6,63.9,34.1,0.3,0.4,2.7
5,Arkansas,95,Monroe,AR,75,"frontier status, population size, poverty, age, population density",37,9302,23.2,26.6,55.7,15.0,2.6,59.3,39.3,0.2,0.3,1.7
5,Arkansas,97,Montgomery,AR,70,"frontier status, population size, poverty, age, population density",37,9274,17.3,22.4,58.1,17.3,2.3,97.1,0.6,0.9,0.4,3.7
5,Arkansas,99,Nevada,AR,75,"frontier status, population size, poverty, age, population density",37,9550,19.3,24.9,59.1,13.5,2.5,66.6,32.7,0.4,0.1,2.2
5,Arkansas,101,Newton,AR,74,"frontier status, population size, poverty, age, population density",30,8452,19.9,22.6,61.3,14.1,2.1,98.2,0.2,0.5,0.2,1.2
5,Arkansas,103,Ouachita,AR,36,"frontier status, population size, poverty, age",23,27102,18.6,25.0,58.5,14.0,2.4,58.6,40.2,0.2,0.4,1.1
5,Arkansas,105,Perry,AR,62,"frontier status, population size, poverty, age, population density",32,10468,14.8,24.2,60.7,13.4,1.8,96.3,2.0,0.9,0.2,1.3
5,Arkansas,107,Phillips,AR,51,"frontier status, population size, poverty, age, population density",33,24107,28.4,32.4,53.5,12.4,1.7,37.3,61.4,0.2,0.5,1.5
5,Arkansas,109,Pike,AR,62,"frontier status, population size, poverty, age, population density",32,11038,15.6,24.3,58.0,15.3,2.4,94.2,3.9,0.8,0.3,4.9
5,Arkansas,111,Poinsett,AR,76,"frontier status, population size, poverty, age, population density",38,25349,20.5,26.3,59.6,12.6,1.5,91.8,7.4,0.2,0.2,1.8
5,Arkansas,113,Polk,AR,71,"frontier status, population size, poverty, age, population density",33,20176,19.1,25.0,57.2,15.6,2.3,96.5,0.3,1.5,0.3,3.8
5,Arkansas,115,Pope,AR,23,"frontier status, population size, poverty, age",37,56580,16.5,26.1,60.8,11.4,1.6,94.4,3.0,0.6,0.8,3.8
5,Arkansas,117,Prairie,AR,61,"frontier status, population size, poverty, age, population density",32,9113,15.4,22.4,60.0,15.1,2.5,84.8,14.5,0.4,0.2,0.9
5,Arkansas,119,Pulaski,AR,5,"frontier status, population size, poverty",25,366463,15.1,26.3,61.9,10.3,1.5,62.5,34.0,0.4,1.6,3.1
5,Arkansas,121,Randolph,AR,72,"frontier status, population size, poverty, age, population density",32,18465,17.2,23.4,59.4,14.9,2.3,97.4,1.2,0.6,0.1,1.2
